dataset,class,k_shot,seed,support_calibration_mode,support_cal_median,support_cal_mad,support_cal_q25,support_cal_q75,support_cal_mean,support_cal_std,support_cal_count
mvtec,grid,4,4,loio_conformal,17.786581993103027,1.6707959175109863,16.528839349746704,19.12894058227539,17.871197938919067,1.979405499007602,4
mvtec,grid,8,0,loio_conformal,16.834057807922363,0.7179269790649414,16.2683744430542,18.035990238189697,17.491735100746155,2.7530293973824795,8
mvtec,grid,8,1,loio_conformal,16.15434217453003,1.1719365119934082,15.250662088394165,17.962306022644043,16.464940071105957,1.3728803016831792,8
mvtec,grid,8,2,loio_conformal,16.11224126815796,1.7806525230407715,13.2939133644104,17.661340713500977,15.239179372787476,2.9129901476782387,8
mvtec,grid,8,3,loio_conformal,15.916358470916748,1.8420753479003906,14.892741918563843,18.485154151916504,16.562671303749084,2.8690075908473385,8
mvtec,grid,8,4,loio_conformal,16.2080397605896,0.8099236488342285,15.49419116973877,16.705320358276367,16.463969588279724,2.004065836653993,8
mvtec,hazelnut,1,0,patch_split_conformal,13.314933776855469,0.0,13.314933776855469,13.314933776855469,13.314933776855469,0.0,1
mvtec,hazelnut,1,1,patch_split_conformal,11.897781372070312,0.0,11.897781372070312,11.897781372070312,11.897781372070312,0.0,1
mvtec,hazelnut,1,2,patch_split_conformal,16.749523162841797,0.0,16.749523162841797,16.749523162841797,16.749523162841797,0.0,1
mvtec,hazelnut,1,3,patch_split_conformal,14.390213966369629,0.0,14.390213966369629,14.390213966369629,14.390213966369629,0.0,1
mvtec,hazelnut,1,4,patch_split_conformal,11.39763355255127,0.0,11.39763355255127,11.39763355255127,11.39763355255127,0.0,1
mvtec,hazelnut,2,0,loio_conformal,26.585373878479004,0.5724458694458008,26.299150943756104,26.871596813201904,26.585373878479004,0.5724458694458008,2
mvtec,hazelnut,2,1,loio_conformal,23.239766120910645,0.09244441986083984,23.193543910980225,23.285988330841064,23.239766120910645,0.09244441986083984,2
mvtec,hazelnut,2,2,loio_conformal,35.0426139831543,2.138416290283203,33.973405838012695,36.1118221282959,35.0426139831543,2.138416290283203,2
mvtec,hazelnut,2,3,loio_conformal,24.130465507507324,1.0243654251098633,23.618282794952393,24.642648220062256,24.130465507507324,1.0243654251098633,2
mvtec,hazelnut,2,4,loio_conformal,26.62924575805664,1.5342845916748047,25.86210346221924,27.396388053894043,26.62924575805664,1.5342845916748047,2
mvtec,hazelnut,4,0,loio_conformal,22.43603515625,1.4695320129394531,21.49501132965088,23.578684329986572,22.63766050338745,2.1018084312358747,4
mvtec,hazelnut,4,1,loio_conformal,20.73596477508545,0.8223762512207031,19.936130046844482,21.340778827667236,20.54094409942627,1.2125231476990386,4
mvtec,hazelnut,4,2,loio_conformal,22.029024124145508,1.0283164978027344,21.13072109222412,22.74869728088379,21.850394248962402,1.456746836541961,4
